Log_ID,TicketCode,Log_createdon,PreStatus,CurrentStatus
0968C361-D9CB-4425-9DD9-8BE07240F031,IR_1514860,9/23/23 8:14,Closed,Inactive
8FFDEF9A-1676-4654-87BF-1D35C1DB1D9B,IR_1514860,9/23/23 8:14,PendingClose,Closed
0DE25CFE-4340-40D8-8E0A-28FB1928AA3B,IR_1514860,9/23/23 8:14,InProgress,PendingClose
25458663-2FEE-4B4D-9CBA-C1D3C8315855,IR_1514860,9/23/23 8:12,NULL,NULL
8260C1D2-0EAC-4465-B864-9AF0A15009EF,IR_1514860,9/20/23 0:34,NULL,NULL
0BA5AC13-6008-4E80-BBDD-2C4E714865E4,IR_1514860,9/20/23 0:34,NULL,New
64F66061-4D57-EE11-9D5A-0050568E91D3,IR_1514860,9/20/23 0:34,,
22CD640A-C3EE-485D-8218-35F0DF0DE838,IR_1514867,9/23/23 8:14,Closed,Inactive
A347061E-EA55-44CF-86A7-9C28B30E292C,IR_1514867,9/23/23 8:14,PendingClose,Closed
E060057C-9EF9-4694-8BC1-41C8B39EE2C3,IR_1514867,9/23/23 8:14,InProgress,PendingClose
82A832D4-63F0-49CE-BFCF-D1FE76B25871,IR_1514867,9/23/23 8:14,New,InProgress
AA958190-1DAD-4E6D-B84D-29441D1238FD,IR_1514867,9/23/23 8:12,NULL,NULL
FED1EA1F-0526-49E7-BAED-952150F70AE6,IR_1514867,9/20/23 1:13,NULL,NULL
AB3CE81F-1370-46A9-88A8-2DA29E49D981,IR_1514867,9/20/23 1:13,NULL,New
EEAB04E3-5257-EE11-9C8B-00505681E6EA,IR_1514867,9/20/23 1:13,,
1EF13427-F451-4626-B769-9591EA84D939,IR_1514868,9/23/23 8:14,Closed,Inactive
90B49C64-CB22-44C0-81C5-50F23C5CB7A0,IR_1514868,9/23/23 8:14,PendingClose,Closed
D1CFE894-D594-47E5-936D-6BEF31898B38,IR_1514868,9/23/23 8:14,InProgress,PendingClose
7DD3BEA5-897F-473E-9B6F-12603711B35E,IR_1514868,9/23/23 8:14,New,InProgress
940FFF05-1290-4976-977E-64178CA22EEB,IR_1514868,9/23/23 8:12,NULL,NULL
2A583509-D818-4B2E-9A11-905B2F473627,IR_1514868,9/20/23 1:14,NULL,NULL
A8F73625-FD10-41CB-B891-78BABA42472C,IR_1514868,9/20/23 1:14,NULL,New
9E4F32F8-5257-EE11-9C8B-00505681E6EA,IR_1514868,9/20/23 1:14,,
14CC33CB-08BE-46BB-B0E1-E286CFB2C9D7,IR_1514869,9/23/23 8:14,Closed,Inactive
B5746049-BDCD-4300-8F13-E8DF4C080204,IR_1514869,9/23/23 8:14,PendingClose,Closed
15F03EBC-2B42-4BC6-BAEC-E1F68F3B19F2,IR_1514869,9/23/23 8:14,InProgress,PendingClose
0EE20BF5-1F8D-43B7-AE15-9D321AF2A607,IR_1514869,9/23/23 8:14,New,InProgress
C8B04BAC-BB69-49D5-8315-2CB32B49A110,IR_1514869,9/23/23 8:12,NULL,NULL
5CB45327-AD7F-45C5-9E78-37EFEB1F8FBD,IR_1514869,9/20/23 1:14,NULL,NULL
7C1890B3-640A-431F-9714-06754439114E,IR_1514869,9/20/23 1:14,NULL,New
0FD4B4FE-5257-EE11-9C8B-00505681E6EA,IR_1514869,9/20/23 1:14,,
4BFC4725-3B18-46C6-B7BD-EDA243B9C28A,IR_1515005,9/23/23 6:23,Closed,Inactive
7B438E15-5530-41D6-8E0D-C434C4C448B4,IR_1515005,9/23/23 6:23,PendingClose,Closed
9DD0F30D-7398-4462-8658-3368A9967950,IR_1515005,9/23/23 6:23,InProgress,PendingClose
EDF5B393-0F41-40A6-9668-D9251DFBF01B,IR_1515005,9/23/23 6:23,NULL,NULL
B4887609-484C-447F-8DEA-7CB2C6F90398,IR_1515005,9/23/23 6:22,Requeue,InProgress
480BBB8E-E0B0-479F-A61A-02F01ACEAF16,IR_1515005,9/23/23 6:16,NULL,NULL
398229F3-83C4-48B7-A205-362F83CE3AA8,IR_1515005,9/23/23 6:16,InProgress,Requeue
DFB6168E-D8AA-4E88-9F23-01415EA1622C,IR_1515005,9/23/23 6:16,NULL,NULL
1A7F789B-D859-EE11-9989-0050568E9E57,IR_1515005,9/23/23 6:15,,
3D6DFAD5-F5A4-4F20-A55C-5EF68A8F0C40,IR_1515005,9/23/23 5:12,Requeue,InProgress
ECA10BB7-4421-473E-9060-86A5A72BC49E,IR_1515005,9/20/23 4:33,InProgress,Requeue
2143A3D3-6E57-EE11-9C8B-00505681E6EA,IR_1515005,9/20/23 4:33,,
D44F21FD-BB5D-48AD-BAFC-477D082CE4E8,IR_1515005,9/20/23 4:33,NULL,NULL
4EFF5AD8-062E-43DF-9817-98335162EEEB,IR_1515005,9/20/23 4:31,New,InProgress
F2CEF349-39BA-4E61-9EAC-A0078AD169C9,IR_1515005,9/20/23 4:02,NULL,NULL
C6143AEA-0119-4BD0-9868-1CF6B83C46C6,IR_1515005,9/20/23 4:02,NULL,New
5AD04584-6A57-EE11-9C28-0050568150DE,IR_1515005,9/20/23 4:02,,
DD5529D9-6C88-4961-8B01-D499F50E74E6,IR_1515088,9/23/23 5:11,Closed,Inactive
4144554C-587C-46C8-9F10-1B1539A9D754,IR_1515088,9/23/23 5:11,PendingClose,Closed
A798A4E2-C2EC-44BE-8E58-DE5B1ADAAAAF,IR_1515088,9/23/23 5:11,InProgress,PendingClose
DE786D78-AC0C-4230-9A94-F3B8CF429DE8,IR_1515088,9/23/23 5:11,NULL,NULL
EC79DF74-35C7-438F-8EB9-6E41B2256911,IR_1515088,9/23/23 5:11,NULL,NULL
6033DFEE-92BE-409E-8E5C-198501AC8E18,IR_1515088,9/23/23 5:10,Requeue,InProgress
605D1982-7CB4-4362-9198-1425FABC459E,IR_1515088,9/23/23 5:10,NULL,NULL
195F23F6-9662-43C9-981C-A962123BAE0D,IR_1515088,9/21/23 7:18,NULL,NULL
3E3812A4-9FE3-4002-8B96-735D10BAB32C,IR_1515088,9/21/23 7:18,InProgress,Requeue
CD179EFF-4E58-EE11-9989-0050568E9E57,IR_1515088,9/21/23 7:18,,
7775A452-1DC9-4A97-B587-A64A3B583723,IR_1515088,9/21/23 7:17,Requeue,InProgress
9F593446-62A0-4249-9B06-B605FF72DBD4,IR_1515088,9/21/23 6:29,NULL,NULL
D55AEFED-7409-4ADC-A026-865F8C57E26E,IR_1515088,9/21/23 6:29,NULL,NULL
E8A9D736-4858-EE11-9D51-0050568E4E5E,IR_1515088,9/21/23 6:29,,
7A9A72F6-53ED-4B98-A4DE-2F49723BD076,IR_1515088,9/20/23 5:49,InProgress,Requeue
DD723771-7957-EE11-9C28-0050568150DE,IR_1515088,9/20/23 5:49,,
DEB36684-8BC2-4CC6-A448-AE6252B1BCF4,IR_1515088,9/20/23 5:49,NULL,NULL
AC12501D-B0BF-4BA6-8BE3-7897BEA86F90,IR_1515088,9/20/23 5:45,New,InProgress
D100F954-2531-47B0-AEBD-EEB030BDB621,IR_1515088,9/20/23 5:42,NULL,NULL
A80A65A5-9809-474F-A653-6872151DBA4D,IR_1515088,9/20/23 5:42,NULL,New
FE21D08C-7857-EE11-9989-0050568E9E57,IR_1515088,9/20/23 5:42,,
2CF3AD73-9A30-49E3-AE96-5C33E184EF6F,IR_1515111,9/23/23 11:57,Closed,Inactive
892E88FB-CAEF-4F52-9B29-E7DE6B31BFE6,IR_1515111,9/23/23 11:57,PendingClose,Closed
D143DE45-EF5B-4EFB-BB5B-E8A389B5F77B,IR_1515111,9/23/23 11:57,InProgress,PendingClose
35DD4747-18DF-4092-AA08-7B2A6D9BF249,IR_1515111,9/23/23 11:57,NULL,NULL
BD880A1F-F4F7-4D36-BB03-136FD10D9D56,IR_1515111,9/23/23 11:56,Requeue,InProgress
0FFC2D21-FEBC-4481-9DDF-2AFFB5E66ACF,IR_1515111,9/23/23 11:56,NULL,NULL
4E664086-28AA-41D8-83D3-DD18C17DAD00,IR_1515111,9/23/23 11:53,InProgress,Requeue
CAD11ED2-075A-EE11-9989-0050568E9E57,IR_1515111,9/23/23 11:53,,
92D5F846-6898-4C9B-871D-4D82C1570765,IR_1515111,9/20/23 7:46,Requeue,InProgress
45E2AE03-0EEC-4121-BC6A-45E6120364DC,IR_1515111,9/20/23 7:20,InProgress,Requeue
06FE0726-8657-EE11-9C8B-00505681E6EA,IR_1515111,9/20/23 7:20,,
FBB076D4-317D-4E59-99A6-073E7BC02CA6,IR_1515111,9/20/23 7:18,NULL,NULL
85BE186E-E09D-42CB-8A7C-96F01DC07139,IR_1515111,9/20/23 7:17,New,InProgress
9415A0DB-D234-4AF7-9B45-A024DFA2F10F,IR_1515111,9/20/23 6:31,NULL,NULL
F4F1E228-A8E9-4C4F-AD1E-4F417CCEE2EE,IR_1515111,9/20/23 6:31,NULL,New
31BDC55A-7F57-EE11-9C28-0050568150DE,IR_1515111,9/20/23 6:31,,
A55C2443-92B9-428D-9E72-DFB9974CC0FF,IR_1515115,9/25/23 4:59,Closed,Inactive
29FBFB49-15A0-40F4-8D4C-019D1AED0306,IR_1515115,9/25/23 4:59,PendingClose,Closed
F6FF288B-39FE-4331-9506-65B28E37EDE2,IR_1515115,9/25/23 4:59,InProgress,PendingClose
51C08D4D-7DF9-45B0-85C1-324322C67533,IR_1515115,9/25/23 4:59,NULL,NULL
3E026AF1-B666-43A0-936A-454B1A223417,IR_1515115,9/25/23 4:58,Requeue,InProgress
75B744E1-FFAB-43FA-A41C-B04E8335DFE0,IR_1515115,9/25/23 4:58,InProgress,Requeue
89900F64-70FF-4EC0-9790-34979E8A2AE0,IR_1515115,9/25/23 4:58,OnHold,InProgress
404B5289-3272-423C-BDBE-F3266FD0DA7F,IR_1515115,9/25/23 4:58,NULL,NULL
