TicketCode,Createdon,Department
IR_1514860,9/20/23 4:04,FSS
IR_1514867,9/20/23 4:43,FSS
IR_1514868,9/20/23 4:44,FSS
IR_1514869,9/20/23 4:44,FSS
IR_1515005,9/20/23 7:32,RAN
IR_1515088,9/20/23 9:12,RAN
IR_1515111,9/20/23 10:01,RAN
IR_1515115,9/20/23 10:05,RAN
IR_1515251,9/20/23 12:39,RAN
IR_1515256,9/20/23 12:43,RAN
IR_1515286,9/20/23 13:17,RAN
IR_1515295,9/20/23 13:27,RAN
IR_1515321,9/20/23 14:00,RAN
IR_1515360,9/20/23 15:19,RAN
IR_1515406,9/20/23 18:02,RAN
IR_1515407,9/20/23 18:04,RAN
IR_1515409,9/20/23 18:10,RAN
IR_1515433,9/20/23 19:47,RAN
IR_1515447,9/20/23 21:23,RAN
IR_1515471,9/21/23 0:59,RAN
IR_1515609,9/21/23 7:04,RAN
IR_1515634,9/21/23 8:10,RAN
IR_1515697,9/21/23 9:27,RAN
IR_1515769,9/21/23 10:47,RAN
IR_1515824,9/21/23 12:24,FSS
IR_1515825,9/21/23 12:24,FSS
IR_1515826,9/21/23 12:24,FSS
IR_1515827,9/21/23 12:24,FSS
IR_1515828,9/21/23 12:24,FSS
IR_1515829,9/21/23 12:24,FSS
IR_1515830,9/21/23 12:24,FSS
IR_1515831,9/21/23 12:24,FSS
IR_1515832,9/21/23 12:24,FSS
IR_1515833,9/21/23 12:24,FSS
IR_1515834,9/21/23 12:24,FSS
IR_1515836,9/21/23 12:25,FSS
IR_1515837,9/21/23 12:25,FSS
IR_1515838,9/21/23 12:25,FSS
IR_1515839,9/21/23 12:25,FSS
IR_1515840,9/21/23 12:25,FSS
IR_1515842,9/21/23 12:25,FSS
IR_1515843,9/21/23 12:25,FSS
IR_1515844,9/21/23 12:25,FSS
IR_1515845,9/21/23 12:25,FSS
IR_1515846,9/21/23 12:25,FSS
IR_1515847,9/21/23 12:25,FSS
IR_1515848,9/21/23 12:25,FSS
IR_1515849,9/21/23 12:25,FSS
IR_1515850,9/21/23 12:26,FSS
IR_1515852,9/21/23 12:26,FSS
IR_1515853,9/21/23 12:27,FSS
IR_1515854,9/21/23 12:27,FSS
IR_1515855,9/21/23 12:27,FSS
IR_1515856,9/21/23 12:27,FSS
IR_1515857,9/21/23 12:27,FSS
IR_1515858,9/21/23 12:27,FSS
IR_1515859,9/21/23 12:27,FSS
IR_1515860,9/21/23 12:27,FSS
IR_1515861,9/21/23 12:27,FSS
IR_1515862,9/21/23 12:27,FSS
IR_1515863,9/21/23 12:27,FSS
IR_1515864,9/21/23 12:28,FSS
IR_1515865,9/21/23 12:28,FSS
IR_1515866,9/21/23 12:28,FSS
IR_1515867,9/21/23 12:28,FSS
IR_1515868,9/21/23 12:28,FSS
IR_1515869,9/21/23 12:28,FSS
IR_1515870,9/21/23 12:28,FSS
IR_1515871,9/21/23 12:28,FSS
IR_1515872,9/21/23 12:28,FSS
IR_1515873,9/21/23 12:28,FSS
IR_1515874,9/23/23 8:13,FSS
IR_1515875,9/21/23 12:29,FSS
IR_1515877,9/21/23 12:29,FSS
IR_1515878,9/21/23 12:29,FSS
IR_1515879,9/23/23 10:42,FSS
IR_1515880,9/21/23 12:29,FSS
IR_1515882,9/21/23 12:29,FSS
IR_1515884,9/21/23 12:29,FSS
IR_1515885,9/21/23 12:29,FSS
IR_1515886,9/21/23 12:31,FSS
IR_1515894,9/21/23 12:34,FSS
IR_1515895,9/21/23 12:37,RAN
IR_1515949,9/21/23 13:24,FSS
IR_1515965,9/21/23 13:32,RAN
IR_1515977,9/21/23 13:40,RAN
IR_1516001,9/21/23 14:04,FSS
IR_1516005,9/21/23 14:10,RAN
IR_1516015,9/21/23 14:32,RAN
IR_1516029,9/21/23 15:06,RAN
IR_1516032,9/22/23 4:55,RAN
IR_1516052,9/21/23 15:54,RAN
IR_1516055,9/21/23 16:04,RAN
IR_1516060,9/21/23 16:20,RAN
IR_1516062,9/21/23 16:24,FSS
IR_1516067,9/21/23 16:48,RAN
IR_1516082,9/21/23 18:05,FSS
IR_1516085,9/21/23 18:20,RAN
IR_1516100,9/21/23 19:23,RAN
IR_1516102,9/21/23 19:24,FSS
IR_1516103,9/21/23 19:33,RAN
IR_1516105,9/21/23 19:41,RAN
IR_1516107,9/21/23 19:45,FSS
IR_1516113,9/21/23 20:05,FSS
IR_1516117,9/21/23 20:44,FSS
IR_1516122,9/21/23 21:44,FSS
IR_1516123,9/21/23 21:45,FSS
IR_1516142,9/21/23 23:25,RAN
IR_1516182,9/22/23 4:40,RAN
IR_1516567,9/22/23 15:14,RAN
IR_1516573,9/22/23 15:34,RAN
IR_1516639,9/22/23 17:34,RAN
IR_1517057,9/23/23 6:44,RAN
IR_1517512,9/23/23 8:41,RAN
IR_1517605,9/23/23 10:20,FSS
IR_1517619,9/23/23 10:39,RAN
IR_1517663,9/23/23 11:21,FSS
IR_1517669,9/23/23 11:22,FSS
IR_1517687,9/23/23 11:31,RAN
IR_1517694,9/23/23 11:35,RAN
IR_1517804,9/23/23 11:45,FSS
IR_1517814,9/23/23 11:46,FSS
IR_1517821,9/23/23 11:46,FSS
IR_1517825,9/23/23 11:47,FSS
IR_1517835,9/23/23 11:47,FSS
IR_1517841,9/23/23 11:48,FSS
IR_1517843,9/23/23 11:48,FSS
IR_1517846,9/23/23 11:48,FSS
IR_1517847,9/23/23 11:48,FSS
IR_1517870,9/23/23 11:50,FSS
IR_1518051,9/23/23 12:02,FSS
IR_1518168,9/23/23 12:05,FSS
IR_1518250,9/23/23 12:09,FSS
IR_1518280,9/23/23 12:12,RAN
IR_1518318,9/23/23 12:14,RAN
IR_1518378,9/23/23 12:18,FSS
IR_1518496,9/23/23 12:25,FSS
IR_1518624,9/23/23 14:00,RAN
IR_1518630,9/23/23 14:14,RAN
IR_1518648,9/23/23 14:59,FSS
IR_1518651,9/23/23 15:03,RAN
IR_1518652,9/23/23 15:03,RAN
IR_1518719,9/23/23 17:24,RAN
IR_1518730,9/23/23 18:03,RAN
IR_1518752,9/25/23 5:32,RAN
IR_1518766,9/23/23 19:29,RAN
IR_1518790,9/23/23 20:29,RAN
IR_1518794,9/23/23 20:39,RAN
IR_1518802,9/23/23 20:55,RAN
IR_1518809,9/23/23 21:54,RAN
IR_1518816,9/23/23 22:10,RAN
IR_1518825,9/23/23 23:30,RAN
IR_1518829,9/23/23 23:51,RAN
IR_1518871,9/24/23 2:40,RAN
IR_1519022,9/24/23 11:07,RAN
IR_1519150,9/24/23 18:42,RAN
IR_1519151,9/24/23 18:44,RAN
IR_1519164,9/24/23 19:24,RAN
IR_1519504,9/25/23 11:15,RAN
IR_1519664,9/25/23 13:39,RAN
IR_1519811,9/25/23 18:03,RAN
IR_1519813,9/25/23 18:05,RAN
IR_1519843,9/25/23 18:43,FSS
IR_1519874,9/25/23 20:43,FSS
IR_1519878,9/25/23 20:52,RAN
IR_1520209,9/26/23 10:29,RAN
IR_1520460,9/26/23 15:36,RAN
IR_1520507,9/26/23 18:24,RAN
IR_1520519,9/26/23 19:37,RAN
IR_1520523,9/26/23 19:53,RAN
IR_1520544,9/26/23 21:44,FSS
IR_1520624,9/27/23 3:08,RAN
IR_1520878,9/27/23 10:01,RAN
IR_1520895,9/27/23 10:24,RAN
IR_1520943,9/27/23 11:07,RAN
IR_1521079,9/27/23 14:02,RAN
IR_1521104,9/27/23 14:34,RAN
IR_1521119,9/27/23 14:58,RAN
IR_1521189,9/27/23 17:25,RAN
IR_1521237,9/27/23 22:50,RAN
IR_1521515,9/28/23 10:08,RAN
IR_1521553,9/28/23 11:06,RAN
IR_1521613,9/28/23 13:10,RAN
IR_1521621,9/28/23 13:27,RAN
IR_1521675,9/28/23 15:07,RAN
IR_1521685,9/28/23 15:31,RAN
IR_1521687,9/28/23 15:33,RAN
IR_1521693,9/28/23 15:53,RAN
IR_1521701,9/28/23 16:24,RAN
IR_1521703,9/28/23 16:35,RAN
IR_1521712,9/28/23 17:31,RAN
IR_1521715,9/28/23 17:41,RAN
IR_1521718,9/28/23 17:49,RAN
IR_1521720,9/28/23 17:55,RAN
IR_1521757,9/28/23 21:44,RAN
IR_1521775,9/28/23 23:06,RAN
IR_1521899,9/29/23 8:00,RAN
IR_1522077,9/29/23 12:58,FSS
IR_1522085,9/29/23 13:35,RAN
IR_1522186,9/29/23 22:44,RAN
